Species,Formula,Inchi
H2+(J=10),H2+,InChI=1S/H2/h1H/q+1
HCl,HCl,InChI=1S/ClH/h1H
HCl+,HCl+,InChI=1S/ClH/h1H/q+1
HD+,HD+,InChI=1S/H2/h1H/q+1/i1+1
HD+(J=1),HD+,InChI=1S/H2/h1H/q+1/i1+1
HD+(J=2),HD+,InChI=1S/H2/h1H/q+1/i1+1
HD+(J=3),HD+,InChI=1S/H2/h1H/q+1/i1+1
HD+(J=4),HD+,InChI=1S/H2/h1H/q+1/i1+1
HD+(J=10),HD+,InChI=1S/H2/h1H/q+1/i1+1
HD+(J=5),HD+,InChI=1S/H2/h1H/q+1/i1+1
HD+(J=6),HD+,InChI=1S/H2/h1H/q+1/i1+1
HD+(J=7),HD+,InChI=1S/H2/h1H/q+1/i1+1
HD+(J=8),HD+,InChI=1S/H2/h1H/q+1/i1+1
HD+(J=9),HD+,InChI=1S/H2/h1H/q+1/i1+1
HeH+,HeH+,InChI=1S/HHe/h1H/q+1
HF,HF,InChI=1S/FH/h1H
HF+,HF+,InChI=1S/FH/h1H/q+1
HS,HS,InChI=1S/HS/h1H
HS+,HS+,InChI=1S/HS/h1H/q+1
H2Cl+,H2Cl+,InChI=1S/ClH2/h1H2/q+1
H2D+,H2D+,InChI=1S/H3/c1-2-3-1/q+1/i1+1
H2F+,H2F+,InChI=1S/FH2/h1H2/q+1
H2O,H2O,InChI=1S/H2O/h1H2
H2O+,H2O+,InChI=1S/H2O/h1H2/q+1
H2S,H2S,InChI=1S/H2S/h1H2
H2S+,H2S+,InChI=1S/H2S/h1H2/q+1
H3+,H3+,InChI=1S/H3/c1-2-3-1/q+1
HCN,HCN,InChI=1S/CHN/c1-2/h1H
HCN+,HCN+,InChI=1S/CHN/c1-2/h1H/q+1
HCO,HCO,InChI=1S/CHO/c1-2/h1H
HCO+,HCO+,InChI=1S/CHO/c1-2/h1H/q+1
HCP,HCP,InChI=1S/CHP/c1-2/h1H
HCP+,HCP+,InChI=1S/CHP/c1-2/h1H/q+1
HCS,HCS,InChI=1S/CHS/c1-2/h1H
HCS+,HCS+,InChI=1S/CHS/c1-2/h1H/q+1
HCSi,HCSi,InChI=1S/CHSi/c1-2/h1H
HNC,HNC,InChI=1S/CHN/c1-2/h2H
HNC+,HNC+,InChI=1S/CHN/c1-2/h2H/q+1
HNO,HNO,InChI=1S/HNO/c1-2/h1H
HNO+,HNO+,InChI=1S/HNO/c1-2/h1H/q+1
HNS+,HNS+,InChI=1S/HNS/c1-2/h1H/q+1
HNSi,HNSi,InChI=1S/HNSi/c1-2/h1H
HNSi+,HNSi+,InChI=1S/HNSi/c1-2/h1H/q+1
HOC+,HOC+,InChI=1S/CHO/c1-2/h1H/q+1
HPN+,HPN+,InChI=1S/HNP/c1-2/h2H/q+1
HPO,HPO,InChI=1S/HOP/c1-2/h2H
HPO+,HPO+,InChI=1S/HOP/c1-2/h2H/q+1
HSS,HS2,InChI=1S/HS2/c1-2/h1H
HSiO+,HSiO+,InChI=1S/HOSi/c1-2/h2H/q+1
HSiS+,HSiS+,InChI=1S/HSSi/c1-2/h2H/q+1
HSO,HSO,
HSO+,HSO+,InChI=1S/HOS/c1-2/h2H/q+1
H2CCl+,H2CCl+,InChI=1S/CH2Cl/c1-2/h1H2/q+1
H2CN,H2CN,InChI=1S/CH2N/c1-2/h1H2
H2CO,H2CO,InChI=1S/CH2O/c1-2/h1H2
H2CO+,H2CO+,InChI=1S/CH2O/c1-2/h1H2/q+1
H2CS,H2CS,InChI=1S/CH2S/c1-2/h1H2
H2CS+,H2CS+,InChI=1S/CH2S/c1-2/h1H2/q+1
H2NC+,H2NC+,InChI=1S/CH2N/c1-2/h2H2/q+1
H2NO+,H2NO+,InChI=1S/H2NO/c1-2/h1H2/q+1
HOOH,H2O2,InChI=1S/H2O2/c1-2/h1-2H
H2PO+,H2PO+,InChI=1S/H2OP/c1-2/h2H2/q+1
HSSH,H2S2,InChI=1S/H2S2/c1-2/h1-2H
H2S2+,H2S2+,InChI=1S/H2S2/c1-2/h1-2H/q+1
H2SiO,H2SiO,InChI=1S/H2OSi/c1-2/h2H2
H2SiO+,H2SiO+,InChI=1S/H2OSi/c1-2/h2H2/q+1
H2SO,H2SO,
H3O+,H3O+,InChI=1S/H2O/h1H2/p+1
H3S+,H3S+,InChI=1S/H2S/h1H2/p+1
HC2N,HC2N,InChI=1S/C2HN/c1-2-3/h1H
HC2O,HC2O,InChI=1S/C2HO/c1-2-3/h1H
HC2S+,HC2S+,InChI=1S/C2HS/c1-2-3/h1H/q+1
l-C3H,HC3,InChI=1S/C3H/c1-3-2/h1H
HCCS,HCCS,
HCNH+,HCNH+,InChI=1S/CH2N/c1-2/h1-2H/q+1
HCNO,HCNO,InChI=1S/CHNO/c1-2-3/h1H
HCNO+,HCNO+,InChI=1S/CHNO/c1-2-3/h1H/q+1
HCNS,HCNS,InChI=1S/CHNS/c1-2-3/h1H
HCNS+,HCNS+,
HOCO+,HCO2+,"InChI=1S/CHO2/c2-1-3/h(H,2,3)/q+1"
HCS2+,HCS2+,InChI=1S/CHS2/c2-1-3/h2H/q+1
HDCO,HDCO,InChI=1S/CH2O/c1-2/h1H2/i1D
HN2O+,HN2O+,InChI=1S/N2O/c1-2-3/p+1
HNCO+,HNCO+,InChI=1S/CHNO/c2-1-3/h2H/q+1
HNCS,HNCS,InChI=1S/CHNS/c2-1-3/h2H
HNCS+,HNCS+,InChI=1S/CHNS/c2-1-3/h2H/q+1
HOCN,HOCN,InChI=1S/CHNO/c2-1-3/h3H
HOCN+,HOCN+,InChI=1S/CHNO/c2-1-3/h3H/q+1
HOCS+,HOCS+,"InChI=1S/CHOS/c2-1-3/h(H,2,3)/q+1"
HONC,HONC,InChI=1S/CHNO/c1-2-3/h3H
HONC+,HONC+,InChI=1S/CHNO/c1-2-3/h3H/q+1
HSCN,HSCN,InChI=1S/CHNS/c2-1-3/h3H
HSCN+,HSCN+,
HSiO2+,HSiO2+,InChI=1S/HO2Si/c1-3-2/h3H/q+1
HSO2+,HSO2+,InChI=1S/O2S/c1-3-2/p+1
H2C2S+,H2C2S+,
l-C3H2,H2C3,InChI=1S/C3H2/c1-3-2/h1H2
l-C3H2+,H2C3+,InChI=1S/C3H2/c1-3-2/h1H2/q+1
H2CCS,H2CCS,InChI=1S/C2H2S/c1-2-3/h1H2
H2CNO+,H2CNO+,
H2CNS+,H2CNS+,
H2CSH+,H2CSH+,InChI=1S/CH3S/c1-2/h1H3/q+1
H2NCO+,H2NCO+,
H2NCS+,H2NCS+,
H2OCN+,H2OCN+,
H2S3,H2S3,InChI=1S/H2S3/c1-3-2/h1-2H
H2SCN+,H2SCN+,
H2COH+,H3CO+,"InChI=1S/CH3O/c1-2/h2H,1H2/q+1"
H3S2+,H3S2+,InChI=1S/H2S2/c1-2/h1-2H/p+1
H3SiO+,H3SiO+,InChI=1S/H3OSi/c1-2/h2H3/q+1
HC2N2,HC2N2,
HCCNC,HC2NC,InChI=1S/C3HN/c1-3-4-2/h1H
HC3N,HC3N,InChI=1S/C3HN/c1-2-3-4/h1H
HC3O,HC3O,InChI=1S/C3HO/c1-2-3-4/h1H
HC3O+,HC3O+,InChI=1S/C3HO/c1-2-3-4/h1H/q+1
HC3S,HC3S,
HC3S+,HC3S+,InChI=1S/C3HS/c1-2-3-4/h1H/q+1
HCNCC,HCNC2,InChI=1S/C3HN/c1-3-4-2/h2H
HCNOH+,HCNOH+,
HCNSH+,HCNSH+,InChI=1S/CHNS/c1-2-3/h1H/p+1
HCOCN,HCOCN,InChI=1S/C2HNO/c3-1-2-4/h2H
HCOCO,HCOCO,
HNCCC,HNC3,InChI=1S/C3HN/c1-2-3-4/h4H
HNCHS,HNCHS,
HNCOH+,HNCOH+,
HNCSH,HNCSH,
HNCSH+,HNCSH+,
HOCHN,HOCHN,"InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)"
HSCHN,HSCHN,
H2C3N,H2C3N,
H2C3O,H2C3O,
H2C3O+,H2C3O+,InChI=1S/C3H2O/c1-2-3-4/h1H2/q+1
H2C3S,H2C3S,
H2C3S+,H2C3S+,
l-C3H3+,H3C3+,"InChI=1S/C3H3/c1-3-2/h1H,2H2/q+1"
HC2NCH+,HC2NCH+,InChI=1S/C3H2N/c1-3-4-2/h1-2H/q+1
HC4N,HC4N,InChI=1S/C4HN/c1-2-3-4-5/h1H
HC4N+,HC4N+,InChI=1S/C4HN/c1-2-3-4-5/h1H/q+1
HC4O+,HC4O+,InChI=1S/C4HO/c1-2-3-4-5/h1H/q+1
HC4S+,HC4S+,InChI=1S/C4HS/c1-2-3-4-5/h1H/q+1
HCCCHS,HCCCHS,
HCOCHO,HCOCHO,
HNCHSH,HNCHSH,
H2C4N+,H2C4N+,InChI=1S/C4H2N/c1-2-3-4-5/h1H2/q+1
C2H3CO+,H3C3O+,"InChI=1S/C3H3O/c1-2-3-4/h3H,1H2/q+1"
HCCCHOH+,H3C3O+,
c-C3H2OH+,H3C3O+,
HC5N,HC5N,InChI=1S/C5HN/c1-2-3-4-5-6/h1H
HC5O+,HC5O+,
HCCCHSH+,HCCCHSH+,
H3C4N+,H3C4N+,InChI=1S/C4H3N/c1-2-3-4-5/h1H3/q+1
HC6N,HC6N,InChI=1S/C6HN/c1-2-3-4-5-6-7/h1H
HC6N+,HC6N+,InChI=1S/C6HN/c1-2-3-4-5-6-7/h1H/q+1
HCOOCH3,HCOOCH3,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3"
H2C6N+,H2C6N+,
H5C2O2+,H5C2O2+,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3/q+1"
H5C3O+,H5C3O+,"InChI=1S/C3H5O/c1-2-3-4/h1-2,4H,3H2/q+1"
HC7N,HC7N,InChI=1S/C7HN/c1-2-3-4-5-6-7-8/h1H
HC7O+,HC7O+,
HC8N,HC8N,InChI=1S/C8HN/c1-2-3-4-5-6-7-8-9/h1H
HC8N+,HC8N+,InChI=1S/C8HN/c1-2-3-4-5-6-7-8-9/h1H/q+1
H2C8N+,H2C8N+,
HC9N,HC9N,InChI=1S/C9HN/c1-2-3-4-5-6-7-8-9-10/h1H
HC9O+,HC9O+,
HC10N+,HC10N+,InChI=1S/C10HN/c1-2-3-4-5-6-7-8-9-10-11/h1H/q+1
H2C10N+,H2C10N+,
Mg,Mg,InChI=1S/Mg
Mg+,Mg+,InChI=1S/Mg/q+1
MgH,MgH,InChI=1S/Mg.H
MgH2,MgH2,InChI=1S/Mg.2H
N(2D),N,InChI=1S/N
N,N,InChI=1S/N
N+,N+,InChI=1S/N/q+1
Na,Na,InChI=1S/Na
Na+,Na+,InChI=1S/Na/q+1
Ne,Ne,InChI=1S/Ne
N2,N2,InChI=1S/N2/c1-2
N2+,N2+,InChI=1S/N2/c1-2/q+1
NaH,NaH,InChI=1S/Na.H
ND,ND,InChI=1S/HN/h1H/i1D
NH,NH,InChI=1S/HN/h1H
NH+,NH+,InChI=1S/HN/h1H/q+1
NO,NO,InChI=1S/NO/c1-2
NO+,NO+,InChI=1S/NO/c1-2/q+1
NS,NS,InChI=1S/NS/c1-2
NS+,NS+,InChI=1S/NS/c1-2/q+1
N2H,N2H,InChI=1S/HN2/c1-2/h1H
N2H+,N2H+,InChI=1S/HN2/c1-2/h1H/q+1
N2O,N2O,InChI=1S/N2O/c1-2-3
NaH2+,NaH2+,InChI=
NaOH,NaOH,InChI=
NCO+,NCO+,InChI=1S/CNO/c1-2-3/q+1
NCS+,NCS+,InChI=1S/CNS/c2-1-3/q+1
NH2,NH2,InChI=1S/H2N/h1H2
NH2-,NH2-,
NH2+,NH2+,InChI=1S/H2N/h1H2/q+1
NHD,NHD,InChI=1S/H2N/h1H2/i1D
NO2,NO2,InChI=1S/NO2/c2-1-3
NO2+,NO2+,InChI=1S/NO2/c2-1-3/q+1
N2H2,N2H2,InChI=1S/H2N2/c1-2/h1-2H
NaH2O+,NaH2O+,InChI=
NCSH,NCSH,InChI=1S/CHNS/c2-1-3/h3H
NCSH+,NCSH+,InChI=1S/CHNS/c2-1-3/h3H/q+1
NH3,NH3,InChI=1S/H3N/h1H3
NH3+,NH3+,InChI=1S/H3N/h1H3/q+1
NO3,NO3,InChI=1S/NO3/c2-1(3)4
N2H3,N2H3,
NC3N,NC3N,InChI=1S/C3N2/c4-2-1-3-5
NH2CN,NH2CN,InChI=1S/CH2N2/c2-1-3/h2H2
NH2CO,NH2CO,"InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)"
NH2CS,NH2CS,
NH4+,NH4+,InChI=1S/H3N/h1H3/p+1
NHCHO,NHCHO,"InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)"
N2H4,N2H4,InChI=1S/H4N2/c1-2/h1-2H2
NC4N,NC4N,InChI=1S/C4N2/c5-3-1-2-4-6
NH2CDO,NH2CDO,"InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)/i1D"
NH2CHO,NH2CHO,"InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)"
NH2CHS+,NH2CHS+,
NH2CNH+,NH2CNH+,InChI=1S/CH2N2/c2-1-3/h2H2/p+1
NH2CHS,NH3CS,"InChI=1S/CH3NS/c2-1-3/h1H,(H2,2,3)"
trans-NHDCHO,NHDCHO,"InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)/i/hD"
cis-NHDCHO,NHDCHO,"InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)/i/hD"
NH2CH2O,NH2CH2O,"InChI=1S/CH5NO/c2-1-3/h3H,1-2H2"
NH2CH2O+,NH2CH2O+,"InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)/p+1"
NH2CH2S,NH2CH2S,
NH2CHSH,NH2CHSH,
NH2CHSH+,NH2CHSH+,
NH3CHS+,NH3CHS+,
NC6N,NC6N,InChI=1S/C6N2/c7-5-3-1-2-4-6-8
NH2CH2OH,NH2CH2OH,"InChI=1S/CH5NO/c2-1-3/h3H,1-2H2"
NH2CH2SH,NH2CH2SH,"InChI=1S/CH5NS/c2-1-3/h3H,1-2H2"
NH2CH2SH+,NH2CH2SH+,
NH3CH2SH+,NH3CH2SH+,
NC8N,NC8N,InChI=1S/C8N2/c9-7-5-3-1-2-4-6-8-10
O,O,InChI=1S/O
O(1D),O,InChI=1S/O
O-,O-,InChI=1S/O/q-1
O+,O+,InChI=1S/O/q+1
O2,O2,InChI=1S/O2/c1-2
O2+,O2+,InChI=1S/O2/c1-2/q+1
OH,OH,InChI=1S/HO/h1H
OH-,OH-,InChI=1S/H2O/h1H2/p-1
OH+,OH+,InChI=1S/HO/h1H/q+1
O2H,O2H,InChI=1S/HO2/c1-2/h1H
HO2+,O2H+,InChI=1S/HO2/c1-2/h1H/q+1
O3,O3,InChI=1S/O3/c1-3-2
OClO,OClO,InChI=1S/ClO2/c2-1-3
OCN,OCN,InChI=1S/CNO/c2-1-3
OCS,OCS,InChI=1S/COS/c2-1-3
OCS+,OCS+,InChI=1S/COS/c2-1-3/q+1
P,P,InChI=1S/P
P+,P+,InChI=1S/P/q+1
Photon,Photon,
PH,PH,InChI=1S/HP/h1H
PH+,PH+,InChI=1S/HP/h1H/q+1
PN,PN,InChI=1S/NP/c1-2
PN+,PN+,InChI=1S/NP/c1-2/q+1
PO,PO,InChI=1S/OP/c1-2
PO+,PO+,InChI=1S/OP/c1-2/q+1
PH2,PH2,InChI=1S/H2P/h1H2
PH2+,PH2+,InChI=1S/H2P/h1H2/q+1
PC2H+,PC2H+,InChI=1S/C2HP/c1-2-3/h1H/q+1
PCH2+,PCH2+,InChI=1S/CH2P/c1-2/h1H2/q+1
PH3+,PH3+,InChI=1S/H3P/h1H3/q+1
PNH2+,PNH2+,InChI=1S/H2NP/c1-2/h1H2/q+1
PC2H2+,PC2H2+,InChI=1S/C2H2P/c1-2-3/h1H2/q+1
PC3H+,PC3H+,InChI=1S/C3HP/c1-2-3-4/h1H/q+1
PCH3+,PCH3+,InChI=1S/CH3P/c1-2/h1H3/q+1
PNH3+,PNH3+,InChI=1S/H3NP/c1-2/h1H3/q+1
PC2H3+,PC2H3+,"InChI=1S/C2H3P/c1-2-3/h2H,1H2/q+1"
PC4H+,PC4H+,InChI=1S/C4HP/c1-2-3-4-5/h1H/q+1
PCH4+,PCH4+,"InChI=1S/CH4P/c1-2/h2H,1H3/q+1"
PC2H4+,PC2H4+,"InChI=1S/C2H4P/c1-2-3/h2H,1H3/q+1"
PC4H2+,PC4H2+,InChI=1S/C4H2P/c1-2-3-4-5/h1H2/q+1
S,S,InChI=1S/S
S-,S-,InChI=1S/S/q-1
S+,S+,InChI=1S/S/q+1
Si,Si,InChI=1S/Si
Si+,Si+,InChI=1S/Si/q+1
S2,S2,InChI=1S/S2/c1-2
S2+,S2+,InChI=1S/S2/c1-2/q+1
SCl,SCl,InChI=1S/ClS/c1-2
SiC,SiC,InChI=1S/CSi/c1-2
SiC+,SiC+,InChI=1S/CSi/c1-2/q+1
SiF+,SiF+,InChI=1S/FSi/c1-2/q+1
SiH,SiH,InChI=1S/HSi/h1H
SiH+,SiH+,InChI=1S/HSi/h1H/q+1
SiN,SiN,InChI=1S/NSi/c1-2
SiN+,SiN+,InChI=1S/NSi/c1-2/q+1
SiO,SiO,InChI=1S/OSi/c1-2
SiO+,SiO+,InChI=1S/OSi/c1-2/q+1
SiS,SiS,InChI=1S/SSi/c1-2
SiS+,SiS+,InChI=1S/SSi/c1-2/q+1
SO,SO,InChI=1S/OS/c1-2
SO+,SO+,InChI=1S/OS/c1-2/q+1
HS2+,S2H+,InChI=1S/HS2/c1-2/h1H/q+1
S3,S3,InChI=1S/S3/c1-3-2
c-SiC2,SiC2,InChI=1S/C2Si/c1-2-3-1
SiC2+,SiC2+,InChI=1S/C2Si/c1-2-3/q+1
SiH2,SiH2,InChI=1S/H2Si/h1H2
SiH2+,SiH2+,InChI=1S/H2Si/h1H2/q+1
SiNC,SiNC,InChI=1S/CNSi/c1-2-3
SiNC+,SiNC+,InChI=1S/CNSi/c1-2-3/q+1
SiO2,SiO2,InChI=1S/O2Si/c1-3-2
SO2,SO2,InChI=1S/O2S/c1-3-2
SO2+,SO2+,InChI=1S/O2S/c1-3-2/q+1
S4,S4,InChI=1S/S4/c1-2-4-3-1
HCCSi,SiC2H,InChI=1S/C2HSi/c1-2-3/h1H
SiC2H+,SiC2H+,InChI=1S/C2HSi/c1-2-3/h1H/q+1
l-SiC3,SiC3,InChI=1S/C3Si/c1-2-3-4
l-SiC3+,SiC3+,InChI=1S/C3Si/c1-2-3-4/q+1
SiCH2,SiCH2,InChI=1S/CH2Si/c1-2/h1H2
SiH3,SiH3,InChI=1S/H3Si/h1H3
SiH3+,SiH3+,InChI=1S/H3Si/h1H3/q+1
SiNCH+,SiNCH+,InChI=1S/CHNSi/c1-2-3/h1H/q+1
HSiNH+,SiNH2+,InChI=1S/H2NSi/c1-2/h1-2H/q+1
SO3,SO3,InChI=1S/O3S/c1-4(2)3
S5,S5,InChI=1S/H2S5/c1-3-5-4-2/h1-2H/p-2
CH3S,SCH3,"InChI=1S/CH4S/c1-2/h2H,1H3/p-1"
c-HCCHSi,SiC2H2,InChI=1S/C2H2Si/c1-2-3-1/h1-2H
SiC2H2+,SiC2H2+,InChI=1S/C2H2Si/c1-2-3/h1H2/q+1
SiC3H,SiC3H,InChI=1S/C3HSi/c1-2-3-4/h1H
SiC3H+,SiC3H+,InChI=1S/C3HSi/c1-2-3-4/h1H/q+1
SiC4,SiC4,InChI=1S/C4Si/c1-2-3-4-5
SiC4+,SiC4+,InChI=1S/C4Si/c1-2-3-4-5/q+1
SiCH3,SiCH3,InChI=1S/CH3Si/c1-2/h1H3
SiCH3+,SiCH3+,InChI=1S/CH3Si/c1-2/h1H3/q+1
SiH4,SiH4,InChI=1S/H4Si/h1H4
SiH4+,SiH4+,InChI=1S/H4Si/h1H4/q+1
S6,S6,InChI=1S/S6/c1-2-4-6-5-3-1
H2CSiCH,SiC2H3,"InChI=1S/C2H3Si/c1-2-3/h1H,3H2"
SiC2H3+,SiC2H3+,InChI=1S/C2H3Si/c1-2-3/h1H3/q+1
SiC3H2+,SiC3H2+,InChI=1S/C3H2Si/c1-2-3-4/h1H2/q+1
SiC4H,SiC4H,InChI=1S/C4HSi/c1-2-3-4-5/h1H
SiC4H+,SiC4H+,InChI=1S/C4HSi/c1-2-3-4-5/h1H/q+1
SiCH4+,SiCH4+,"InChI=1S/CH4Si/c1-2/h2H3,1H/q+1"
SiH5+,SiH5+,InChI=1S/H5Si/h1H5/q+1
S7,S7,InChI=1S/S7/c1-2-4-6-7-5-3-1
SiC2CH3,SiC3H3,InChI=1S/C3H3Si/c1-2-3-4/h1H3
S8,S8,InChI=1S/S8/c1-2-4-6-8-7-5-3-1
SiC6H,SiC6H,InChI=1S/C6HSi/c1-2-3-4-5-6-7/h1H
SiC3H5,SiC3H5,"InChI=1S/C3H5Si/c1-2-3-4/h2-3H,1H3/b3-2+"
SiC8H,SiC8H,InChI=1S/C8HSi/c1-2-3-4-5-6-7-8-9/h1H
