Species,Formula,Inchi
C5+,C5+,InChI=1S/C5/c1-3-5-4-2/q+1
CH2NH+,CH2NH+,"InChI=1S/CH3N/c1-2/h2H,1H2/q+1"
HCOOH,CH2O2,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)"
HCOOH+,CH2O2+,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)/q+1"
CH2OH,CH2OH,"InChI=1S/CH3O/c1-2/h2H,1H2"
CH2PH,CH2PH,"InChI=1S/CH3P/c1-2/h2H,1H2"
CH2NH,CH3N,"InChI=1S/CH3N/c1-2/h2H,1H2"
CH3O,CH3O,InChI=1S/CH3O/c1-2/h1H3
CH2SH,CH3S,"InChI=1S/CH3S/c1-2/h2H,1H2"
CH4,CH4,InChI=1S/CH4/h1H4
CH4+,CH4+,InChI=1S/CH4/h1H4/q+1
CH3CN,C2H3N,InChI=1S/C2H3N/c1-2-3/h1H3
CH3CN+,C2H3N+,InChI=1S/C2H3N/c1-2-3/h1H3/q+1
CH2CHO,C2H3O,"InChI=1S/C2H3O/c1-2-3/h2H,1H2"
CH3CO+,C2H3O+,InChI=1S/C2H3O/c1-2-3/h1H3/q+1
C2H4,C2H4,InChI=1S/C2H4/c1-2/h1-2H2
C2H4+,C2H4+,"InChI=1S/C2H4/c1-2/h1H,2H3/q+1"
HC3NH+,C3H2N+,"InChI=1S/C3H2N/c1-2-3-4/h1,4H/q+1"
HCCCHO,C3H2O,"InChI=1S/C3H2O/c1-2-3-4/h1,3H"
c-C3H2O,C3H2O,InChI=1S/C3H2O/c4-3-1-2-3/h1-2H
CH2CCH,C3H3,"InChI=1S/C3H3/c1-3-2/h1H,2H2"
c-C3H3+,C3H3+,InChI=1S/C3H3/c1-2-3-1/h1-3H/q+1
C4H2,C4H2,InChI=1S/C4H2/c1-3-4-2/h1-2H
C4H2+,C4H2+,InChI=1S/C4H2/c1-3-4-2/h1-2H/q+1
C4N2+,C4N2+,InChI=1S/C4N2/c5-3-1-2-4-6/q+1
C5H,C5H,InChI=1S/C5H/c1-3-5-4-2/h1H
C5H-,C5H-,InChI=1S/C5H/c1-3-5-4-2/h1H/q-1
C5H+,C5H+,InChI=1S/C5H/c1-3-5-4-2/h1H/q+1
C5N,C5N,InChI=1S/C5N/c1-2-3-4-5-6
C5N+,C5N+,InChI=1S/C5N/c1-2-3-4-5-6/q+1
C5O,C5O,InChI=1S/C5O/c1-2-3-4-5-6
C5S,C5S,InChI=1S/C5S/c1-2-3-4-5-6
C6,C6,InChI=1S/C6/c1-3-5-6-4-2
C6-,C6-,InChI=1S/C6/c1-3-5-6-4-2/q-1
C6+,C6+,InChI=1S/C6/c1-3-5-6-4-2/q+1
CH2NH2,CH2NH2,InChI=1S/CH4N/c1-2/h1-2H2
CH3CO,CH3CO,InChI=1S/C2H3O/c1-2-3/h1H3
CH3CS+,CH3CS+,InChI=1S/C2H3S/c1-2-3/h1H3/q+1
CH3NH,CH3NH,"InChI=1S/CH4N/c1-2/h2H,1H3"
CH3O2+,CH3O2+,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)/p+1"
CH3SH,CH3SH,"InChI=1S/CH4S/c1-2/h2H,1H3"
CH3SH+,CH3SH+,"InChI=1S/CH4S/c1-2/h2H,1H3/q+1"
CH2NH2+,CH4N+,InChI=1S/CH4N/c1-2/h1-2H2/q+1
CH3OH,CH4O,"InChI=1S/CH4O/c1-2/h2H,1H3"
CH3OH+,CH4O+,"InChI=1S/CH4O/c1-2/h2H,1H3/q+1"
CH5+,CH5+,InChI=1S/CH5/h1H5/q+1
CH3NCO,C2H3NO,InChI=1S/C2H3NO/c1-3-2-4/h1H3
CH3NCO+,C2H3NO+,InChI=1S/C2H3NO/c1-3-2-4/h1H3/q+1
CH3CNH+,C2H4N+,"InChI=1S/C2H4N/c1-2-3/h3H,1H3/q+1"
CH3CHO,C2H4O,"InChI=1S/C2H4O/c1-2-3/h2H,1H3"
C2H4O+,C2H4O+,"InChI=1S/C2H4O/c1-2-3/h2H,1H3/q+1"
C2H5,C2H5,"InChI=1S/C2H5/c1-2/h1H2,2H3"
C2H5+,C2H5+,InChI=1S/C2H5/c1-2-3-1/h1-2H2/q+1
C3H2CN,C3H2CN,InChI=1S/C4H2N/c1-2-3-4-5/h1H2
CH2CHCN,C3H3N,"InChI=1S/C3H3N/c1-2-3-4/h2H,1H2"
C3H3N+,C3H3N+,"InChI=1S/C3H3N/c1-2-3-4/h2H,1H2/q+1"
CH2CCH2,C3H4,InChI=1S/C3H4/c1-3-2/h1-2H2
CH3CCH,C3H4,"InChI=1S/C3H4/c1-3-2/h1H,2H3"
C3H4+,C3H4+,InChI=1S/C3H4/c1-3-2/h1-2H2/q+1
C4H3,C4H3,InChI=1S/C4H3/c1-3-4-2/h1-3H
C4H3+,C4H3+,"InChI=1S/C4H3/c1-3-4-2/h1H,2H2/q+1"
C4N2H+,C4N2H+,InChI=1S/C4N2/c5-3-1-2-4-6/p+1
C5H2,C5H2,InChI=1S/C5H2/c1-3-5-4-2/h1H2
C5H2+,C5H2+,InChI=1S/C5H2/c1-3-5-4-2/h1H2/q+1
HC5N+,C5HN+,InChI=1S/C5HN/c1-2-3-4-5-6/h1H/q+1
C6H,C6H,InChI=1S/C6H/c1-3-5-6-4-2/h1H
C6H-,C6H-,InChI=1S/C6H/c1-3-5-6-4-2/h1H/q-1
C6H+,C6H+,InChI=1S/C6H/c1-3-5-6-4-2/h1H/q+1
C6N,C6N,InChI=1S/C6N/c1-2-3-4-5-6-7
C6N+,C6N+,InChI=1S/C6N/c1-2-3-4-5-6-7/q+1
C7,C7,InChI=1S/C7/c1-3-5-7-6-4-2
C7-,C7-,InChI=1S/C7/c1-3-5-7-6-4-2/q-1
C7+,C7+,InChI=1S/C7/c1-3-5-7-6-4-2/q+1
CH3CHS,CH3CHS,"InChI=1S/C2H4S/c1-2-3/h2H,1H3"
CH3SH2+,CH3SH2+,"InChI=1S/CH4S/c1-2/h2H,1H3/p+1"
CH3NH2,CH5N,"InChI=1S/CH5N/c1-2/h2H2,1H3"
CH3NH2+,CH5N+,"InChI=1S/CH5N/c1-2/h2H2,1H3/q+1"
CH3OH2+,CH5O+,"InChI=1S/CH4O/c1-2/h2H,1H3/p+1"
C2H3NH2,C2H3NH2,"InChI=1S/C2H5N/c1-2-3/h2H,1,3H2"
CH3NCOH+,C2H4NO+,"InChI=1S/C2H4NO/c1-3-2-4/h1H3,(H,3,4)/q+1"
C2H5N+,C2H5N+,
CH3CHOH+,C2H5O+,"InChI=1S/C2H5O/c1-2-3/h2H2,1H3/q+1"
C2H6,C2H6,InChI=1S/C2H6/c1-2/h1-2H3
