name,smiles,source,detected_in_ism,molecular_charge,net_formal_charge,Exact_MW,Heavy_Atom_Count,Num_H_Donors,Num_H_Acceptors,Num_Rotatable_Bonds,Num_Aromatic_Rings,has_oxygen
HOCO,O=[C]O,KIDA,TRUE,neutral,0,44.99765427,3,1,1,0,0,TRUE
H2CCN,C=C=[N],KIDA,TRUE,neutral,0,40.01872406,3,0,0,0,0,FALSE
CH2CN+,[CH2+]C#N,KIDA,TRUE,positive,1,40.01817548,3,0,1,0,0,FALSE
H2CCO,C=C=O,KIDA,TRUE,neutral,0,42.01056468,3,0,1,0,0,TRUE
H2CCO+,C=C=[O+],KIDA,TRUE,positive,1,42.0100161,3,0,1,0,0,TRUE
C2H3,[CH]=C,KIDA,TRUE,neutral,0,27.0234751,2,0,0,0,0,FALSE
C2H3+,[CH+]=C,KIDA,TRUE,positive,1,27.02292652,2,0,0,0,0,FALSE
C2N2H+,N#C[C+]=N,KIDA,TRUE,positive,1,53.01342445208999,4,1,2,0,0,FALSE
t-C3H2,[CH+]=C=[CH-],KIDA,TRUE,neutral,0,38.01565006,3,0,0,0,0,FALSE
c-C3H2,C1=CC=1,KIDA,TRUE,neutral,0,38.01565006,3,0,0,0,0,FALSE
c-C3H2+,[c]1c[cH+]1,KIDA,TRUE,positive,1,38.015101484089996,3,0,0,0,1,FALSE
HC3N+,[CH+]=[C]C#N,KIDA,TRUE,positive,1,51.010350452089995,4,0,1,0,0,FALSE
C4H,[C]#CC#C,KIDA,TRUE,neutral,0,49.00782503,4,0,0,0,0,FALSE
C4H-,[C-]#CC#C,KIDA,TRUE,negative,-1,49.00837361,4,0,0,0,0,FALSE
C4H+,[C+]#CC#C,KIDA,TRUE,positive,1,49.00727645,4,0,0,0,0,FALSE
CH2NH+,[CH2+][NH],KIDA,TRUE,positive,1,29.02600052,2,0,0,0,0,FALSE
HCOOH,O=CO,KIDA,TRUE,neutral,0,46.0054793,3,1,1,0,0,TRUE
CH2OH,[CH2]O,KIDA,TRUE,neutral,0,31.018389715999998,2,1,1,0,0,TRUE
CH2PH,C=P,KIDA,TRUE,neutral,0,45.99723673,2,0,0,0,0,FALSE
CH2NH,C=N,KIDA,TRUE,neutral,0,29.026549095999997,2,1,1,0,0,FALSE
CH3O,C[O],KIDA,TRUE,neutral,0,31.018389715999998,2,0,0,0,0,TRUE
CH2SH,[CH2]S,KIDA,TRUE,neutral,0,46.9955461,2,1,1,0,0,FALSE
CH4,C,KIDA,TRUE,neutral,0,16.031300127999998,1,0,0,0,0,FALSE
CH3CN,CC#N,KIDA,TRUE,neutral,0,41.0265491,3,0,1,0,0,FALSE
CH3CN+,C[C+]=[N],KIDA,TRUE,positive,1,41.02600052,3,0,0,0,0,FALSE
