name,smiles,source,detected_in_ism,molecular_charge,net_formal_charge,Exact_MW,Heavy_Atom_Count,Num_H_Donors,Num_H_Acceptors,Num_Rotatable_Bonds,Num_Aromatic_Rings,has_oxygen,BDE_min_kJmol,BDE_mean_kJmol,BDE_bond_type_of_min,BDE_weak_bond_count,BDE_source,spin_tax_correction_kJmol,oxygen_radical_flag,ZPE_scaling_factor,radical_stability_score,BDE_min_bond_length_A,tunneling_p_10K,tunneling_p_20K,tunneling_p_50K,gamow_factor,crossover_T,effective_barrier_kJmol,barrier_width_angstrom,particle_mass_amu,crossover_T_independent,log_tunneling_10K_independent,log_tunneling_20K_independent,log_tunneling_50K_independent,log_gamow_factor_independent,BDE_est_from_length_kJmol,effective_barrier_independent_kJmol,log_tunneling_10K,log_tunneling_20K,log_tunneling_50K,log_gamow_factor,bde_literature_kjmol
C2H2+,[CH]=[CH+],KIDA,True,positive,1,26.01510148,2,0,0,0,0,False,574.8,574.8,C-H,0,literature,0.0,False,1.0,2.0,,0.0,0.0,5.459551109115713e-258,2.0736070680401838e-45,394.0126963122495,529.4499962451299,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-257.26284306404403,-44.68327353548272,574.8
C2HO+,[C+]=C[O],KIDA,True,positive,1,41.00219107,3,0,0,0,0,True,510.2,510.2,C-H,0,literature,0.0,True,1.0,4.0,,0.0,0.0,7.744818268256555e-191,2.0231196454712868e-41,358.8354857931921,439.1322024035505,1.0,1.008,686.9653561832204,-23.278569154719595,-22.735402136356928,-22.595416019763583,-36.520745363756674,446.5319237054945,297.68794913699634,-300.0,-300.0,-190.11098876848183,-40.69397843268572,510.2
HCCP,[CH+]=C=[P-],KIDA,True,neutral,0,55.98158666,3,0,0,0,0,False,479.1321135350112,479.1321135350112,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.07645087208256,0.0,0.0,2.396297094570337e-221,3.1119318613180392e-43,374.8222658146148,479.1321135350112,1.0,1.008,686.9653561832204,-35.32968394974679,-34.361818068249775,-33.99313987340392,-44.22040765391166,447.4989706287416,447.4989706287416,-300.0,-300.0,-220.62045933881456,-42.506969920865366,
HC2N+,[CH+]=C=[N],KIDA,True,positive,1,39.01035045,3,0,0,0,0,False,429.4,429.4,C-H,0,literature,0.0,False,1.0,2.0,,0.0,0.0,0.0,2.3357395168447504e-49,428.8284341917181,627.1503447756933,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-300.0,-48.63157559165582,429.4
c-C3H,[C]1=C=C1,KIDA,True,neutral,0,37.00782503,3,0,0,0,0,False,715.0,715.0,C-H,0,literature,0.0,False,1.0,3.0,,,,,,,,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,,,,,715.0
C3H+,[C+]C#C,KIDA,True,positive,1,37.00727645,3,0,0,0,0,False,683.1222047425149,683.1222047425149,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.063485378630859,0.0,0.0,0.0,1.7565633429352686e-51,447.5555455097942,683.1222047425149,1.0,1.008,686.9653561832204,-35.40432072333111,-34.433830895161236,-34.06363689390572,-43.73293556384548,448.4243615931821,448.4243615931821,-300.0,-300.0,-300.0,-50.755336184618756,
CH3,[CH3],KIDA,True,neutral,0,15.0234751,1,0,0,0,0,False,439.3,439.3,C-H,0,literature,0.0,False,1.0,0.0,,0.0,0.0,5.855440402140833e-305,3.0900850971617783e-48,418.9387519723941,598.5570990635,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-299.99997457088995,-47.51002956047196,439.3
CH3+,[CH3+],KIDA,True,positive,1,15.02292651609,1,0,0,0,0,False,650.5100709933707,650.5100709933707,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.082549619193557,0.0,0.0,0.0,2.958043290117154e-50,436.74179415379933,650.5100709933707,1.0,1.008,686.9653561832204,-35.294576725484774,-34.32794510353246,-33.95997969288448,-44.44930908725999,447.0636824932033,447.0636824932033,-300.0,-300.0,-300.0,-49.528995474517146,
HNCO,N=C=O,KIDA,True,neutral,0,43.00581365,3,1,2,0,0,True,458.6,458.6,N-H,0,literature,0.0,False,1.0,2.0,,0.0,0.0,7.0819564781154975e-289,7.154154443267157e-47,406.9059507870805,564.6672491672037,1.0,1.008,778.5607370076495,-32.22771549318302,-31.224402910572103,-30.835422448735237,-42.06615301552556,460.0,460.0,-300.0,-300.0,-288.14984674650873,-46.145441688574145,458.6
HOCO,O=[C]O,KIDA,True,neutral,0,44.99765427,3,1,1,0,0,True,-34.545016048250545,-34.545016048250545,O-H,1,xtb_corrected,-15.4,True,1.0,0.0,0.9778064811163462,,,,,,,1.0,1.008,824.3584274198644,-21.307804765839354,-20.689256173456,-20.51357047145266,-34.194310494190645,486.4387037767308,324.2924691844872,,,,,359.0
