name,smiles,source,detected_in_ism,molecular_charge,net_formal_charge,Exact_MW,Heavy_Atom_Count,Num_H_Donors,Num_H_Acceptors,Num_Rotatable_Bonds,Num_Aromatic_Rings,has_oxygen,BDE_min_kJmol,BDE_mean_kJmol,BDE_bond_type_of_min,BDE_weak_bond_count,BDE_source,spin_tax_correction_kJmol,oxygen_radical_flag,ZPE_scaling_factor,radical_stability_score,BDE_min_bond_length_A,tunneling_p_10K,tunneling_p_20K,tunneling_p_50K,gamow_factor,crossover_T,effective_barrier_kJmol,barrier_width_angstrom,particle_mass_amu,crossover_T_independent,log_tunneling_10K_independent,log_tunneling_20K_independent,log_tunneling_50K_independent,log_gamow_factor_independent,BDE_est_from_length_kJmol,effective_barrier_independent_kJmol,log_tunneling_10K,log_tunneling_20K,log_tunneling_50K,log_gamow_factor,bde_literature_kjmol
CH2CCH,C#C[CH2],KIDA,True,neutral,0,39.0234751,3,0,0,0,0,False,393.0,393.0,C-H,0,literature,0.0,False,1.0,2.0,,0.0,0.0,3.367960453450603e-220,4.120483707245533e-43,373.74720384579217,476.3875699886208,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-219.4726330166228,-42.38505179875889,393.0
c-C3H3+,c1c[cH+]1,KIDA,True,positive,1,39.02292651609,3,0,0,0,1,False,427.0,427.0,C-H,0,literature,0.0,False,1.0,3.0,,0.0,0.0,0.0,9.11609981778432e-50,432.4315639029353,637.733585879492,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-300.0,-49.0401909281082,427.0
C4H2,C#CC#C,KIDA,True,neutral,0,50.01565006,4,0,0,0,0,False,539.0,539.0,C-H,0,literature,0.0,False,1.0,2.0,,0.0,0.0,2e-323,1.3851744013287838e-48,422.0114906168745,607.3696256332018,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-300.0,-47.858495543013696,539.0
C4H2+,C#C[C]=[CH+],KIDA,True,positive,1,50.01510148409,4,0,0,0,0,False,627.8848745517328,627.8877400316221,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.06482405603339,0.0,0.0,0.0,2.1875281669958748e-49,429.07948649571074,627.8848745517328,1.0,1.008,686.9653561832204,-35.39661444709985,-34.426395539473425,-34.05635807409465,-43.78331981251629,448.3288156753026,448.3288156753026,-300.0,-300.0,-300.0,-48.66004634621782,
C5H,[C-]#C[C]=C=[CH+],KIDA,True,neutral,0,61.00782503,5,0,0,0,0,False,427.0,427.0,C-H,0,literature,0.0,False,1.0,2.0,,0.0,0.0,6.836225448925638e-191,1.9930654855572656e-41,358.89280214197606,439.2724976954865,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-190.16518362330504,-40.70047843158103,427.0
C5H-,[C-]#C[C-]=C=[CH+],KIDA,True,negative,-1,61.00837361,5,0,0,0,0,False,365.1738778887912,365.1738778887912,C-H,1,xtb_corrected,-15.4,False,1.0,2.0,1.0655965041158029,0.0,2.7215549575e-314,2.4668492594903495e-150,7.775609242604214e-38,327.22584156343316,365.1738778887912,1.0,1.008,686.9653561832204,-35.392167754959765,-34.422105174802084,-34.05215803114032,-43.81238713569061,448.2736834523273,448.2736834523273,-300.0,-300.0,-149.60785738791265,-37.10926557267603,
C5H+,[C+]#C[C-]=C=[CH+],KIDA,True,positive,1,61.00727645,5,0,0,0,0,False,662.4473994263228,662.4473994263228,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0655962514998576,0.0,0.0,0.0,1.0438163457862229e-50,440.73084015858416,662.4473994263228,1.0,1.008,686.9653561832204,-35.39216920917335,-34.42210657789145,-34.0521594046919,-43.81237763038482,448.2737014823786,448.2737014823786,-300.0,-300.0,-300.0,-49.98137590653289,
CH2NH2,[CH2]N,KIDA,True,neutral,0,30.034374127999996,2,1,1,0,0,False,342.3314699175289,380.16573495876446,C-H,2,xtb_corrected,-15.4,False,1.0,1.0,1.0864897090883845,2.6917176704644948e-42,4.526503872596999e-42,5.2898087862326865e-42,4.5213925623607526e-27,232.30520968242823,184.0443186890876,1.0,1.008,686.9653561832204,-35.27189595479116,-34.306061724984914,-33.93855673076161,-44.59705541457938,446.78246499837064,446.78246499837064,-41.56997049444416,-41.344237103737804,-41.27656002637406,-26.344727784435356,418.0
CH3CO,C[C]=O,KIDA,True,neutral,0,43.01838972,3,0,1,0,0,True,362.0,362.0,C-H,3,literature,0.0,False,1.0,0.0,,1.50299367210264e-32,1.7048795030420666e-32,2.0792739932403955e-32,5.492615769130777e-21,178.652627393135,108.84872143847431,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-31.823042847873964,-31.768306310520867,-31.682088278387663,-20.26022078058591,362.0
CH3CS+,CC#[S+],KIDA,True,positive,1,58.994997516089995,3,0,0,0,0,False,445.42878910935815,445.42878910935815,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0939859145560171,0.0,0.0,3.156862370579329e-207,1.0358825227111572e-41,361.3989472441039,445.42878910935815,1.0,1.008,686.9653561832204,-35.22874520207296,-34.26442804796747,-33.897798849519674,-44.87785640704275,446.2474355501528,446.2474355501528,-300.0,-300.0,-206.50074435158922,-40.98468949423481,
CH3NH,C[NH],KIDA,True,neutral,0,30.034374127999996,2,0,0,0,0,False,388.0,408.86192780364433,C-H,0,literature,0.0,False,1.0,1.0,,4.4637430641212265e-39,6.391169534823869e-39,7.451538815281523e-39,4.50556972025344e-25,214.6828323239017,157.1806749981586,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-38.35030081161657,-38.19441966202241,-38.127754031952975,-24.34625028554655,388.0
CH3O2+,OC=[OH+],KIDA,True,positive,1,47.012755756089994,3,1,0,0,0,True,545.3620166338355,571.2268705570731,C-H,0,xtb_corrected,-15.4,True,1.0,5.0,1.0999965174493496,0.0,5.291577915e-313,9.144338804331266e-150,9.377338440347816e-38,326.5085479419889,363.5746777558904,1.0,1.008,686.9653561832204,-23.24043872664955,-22.69861899976592,-22.55926707443156,-36.82622493631227,445.8184385644962,297.2122923763308,-300.0,-299.9999999999998,-149.03884769139168,-37.02792040945609,
CH3SH,CS,KIDA,True,neutral,0,48.00337113,2,1,1,0,0,False,401.0,401.0,C-H,0,literature,0.0,False,1.0,1.0,,0.0,0.0,2.1021609637100304e-223,1.8851131526162397e-43,376.7418581677991,484.0522774201109,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-222.67733403284888,-42.724662576449184,401.0
CH2NH2+,[CH2+]N,KIDA,True,positive,1,30.03382555,2,1,1,0,0,False,535.3256140766719,555.6811899413343,N-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0192653481215364,0.0,0.0,1.280011959385745e-260,1.1734707719205565e-45,396.1929593372339,535.3256140766719,1.0,1.008,778.5607370076495,-32.06153757537733,-31.064792987151407,-30.679629901625457,-42.34503271059051,457.6836629696159,457.6836629696159,-300.0,-300.0,-259.8927859726404,-44.930527723067264,
CH3OH,CO,KIDA,True,neutral,0,32.02621475,2,1,1,0,0,True,437.0,483.0096207287919,O-H,0,literature,0.0,True,1.0,0.0,,0.0,1.7907547308772328e-257,1.016755198919207e-127,4.0192277418776016e-36,312.11717725497056,332.2307739799814,1.0,1.008,824.3584274198644,-21.46837336808709,-20.84309550639723,-20.663983925227992,-33.69427771976918,490.0,326.6666666666667,-300.0,-256.7469638928338,-126.99278359826329,-35.39585738464188,437.0
CH3NCO,CN=C=O,KIDA,True,neutral,0,57.02146372,4,0,2,0,0,True,377.0,377.0,C-H,3,literature,0.0,False,1.0,1.0,,0.0,0.0,7.789774938247981e-218,7.363046405789555e-43,371.52412859773216,470.7372493156517,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-217.10847508975863,-42.13294246236252,377.0
CH3NCO+,C[N+]=C=O,KIDA,True,positive,1,57.02091514,4,0,2,0,0,True,335.0,335.0,C-H,3,literature,0.0,False,1.0,1.0,,1.0303522922684509e-230,5.408253711684189e-136,2.227295532014478e-79,7.544795696559665e-32,274.4338330677683,256.85014774895154,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-229.98701425837345,-135.266942942991,-78.65222215413448,-31.122352515869583,335.0
CH3CNH+,C[C+]=N,KIDA,True,positive,1,42.03382555,3,1,1,0,0,False,505.2604972589696,542.4903783553751,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.093931680316579,0.0,0.0,3.78428615406623e-247,2.235649762034093e-44,384.90664976558367,505.2604972589696,1.0,1.008,686.9653561832204,-35.22905739088255,-34.26472926089862,-33.898093726956304,-44.87582622365571,446.25130643060373,446.25130643060373,-300.0,-300.0,-246.42201603124667,-43.65059623223904,
CH3CHO,CC=O,KIDA,True,neutral,0,44.02621475,3,0,1,0,0,True,372.0,372.0,C-H,4,literature,0.0,False,1.0,0.0,,0.0,0.0,3.112088897972557e-226,9.49462719364313e-44,379.3683539026495,490.8250473109685,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-225.50694800572236,-43.022522083156794,372.0
C2H4O+,CC=[O+],KIDA,True,positive,1,44.02566617,3,0,1,0,0,True,461.0,461.0,C-H,0,literature,0.0,False,1.0,0.0,,8.317591056827005e-32,9.283322308038327e-32,1.1411141022170724e-31,1.6141869695527018e-20,174.52430981723606,103.87627685929786,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-31.08000243599433,-31.03229657099745,-30.94267092746113,-19.792046162834396,461.0
C2H5,[CH2]C,KIDA,True,neutral,0,29.03912516,2,0,0,0,0,False,420.5,420.5,C-H,0,literature,0.0,False,1.0,0.0,,1.2272381793517622e-40,1.8940613514710663e-40,2.205209033277847e-40,4.826383930084567e-26,223.237323948624,169.95663834904798,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-39.9110711422935,-39.72260595765914,-39.656550237172866,-25.316378133715027,420.5
C3H2CN,C=C=C=C=[N],KIDA,True,neutral,0,64.01872406,5,0,0,0,0,False,449.3382531194826,449.3382531194826,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.083935410709732,0.0,0.0,7.22156227564935e-209,6.852437565161846e-42,362.9814555935976,449.3382531194826,1.0,1.008,686.9653561832204,-35.28659952250701,-34.320248355907324,-33.952444887867344,-44.50128589743257,446.96477388224736,446.96477388224736,-300.0,-300.0,-208.14136883923118,-41.164154912771934,
CH2CHCN,C=CC#N,KIDA,True,neutral,0,53.0265491,4,0,1,0,0,False,390.0,390.0,C-H,0,literature,0.0,False,1.0,2.0,,0.0,0.0,2.6238885860489507e-224,1.5135785970268225e-43,377.5824902653503,486.2148396402838,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-223.58105460965135,-42.81999502210168,390.0
C3H3N+,[CH2+][CH]C#N,KIDA,True,positive,1,53.026000516089994,4,0,1,0,0,False,311.8638722831675,346.5071970515324,C-H,3,xtb_corrected,-15.4,False,1.0,1.0,1.0827552312172652,0.0,1.3370162701682107e-214,5.1649223399715726e-111,5.084461672040605e-35,302.398947387211,311.8638722831675,1.0,1.008,686.9653561832204,-35.2933931342374,-34.32680312387863,-33.95886174137883,-44.457021796472056,447.0490072701099,447.0490072701099,-300.0,-213.8738633077707,-110.28693620416864,-34.29375502213916,
CH2CCH2,C=C=C,KIDA,True,neutral,0,40.03130013,3,0,0,0,0,False,381.6,381.6,C-H,0,literature,0.0,False,1.0,2.0,,0.0,0.0,1.677116305104153e-210,4.547680347176953e-42,364.5515283903216,453.23387676697314,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-209.7754368187812,-41.342210069124135,381.6
CH3CCH,C#CC,KIDA,True,neutral,0,40.03130013,3,0,0,0,0,False,416.0,416.0,C-H,0,literature,0.0,False,1.0,2.0,,0.0,0.0,3.6135088942141077e-219,5.304929390693741e-43,372.7796031323388,473.9241066462398,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-218.44207087198143,-42.27532039224071,416.0
C3H4+,C=[C][CH2+],KIDA,True,positive,1,40.030751548089995,3,0,0,0,0,False,436.0,436.0,C-H,0,literature,0.0,False,1.0,2.0,,0.0,1.58673866e-316,2.5463263859363126e-151,5.624714667157635e-38,328.46593768849556,367.9469400572671,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-150.59408592961944,-37.24989950372718,436.0
C4H3,[CH]=CC#C,KIDA,True,neutral,0,51.0234751,4,0,0,0,0,False,364.0,364.0,C-H,3,literature,0.0,False,1.0,2.0,,6.758033474978502e-36,8.47943426551762e-36,1.0039960252712616e-35,4.350518314179666e-23,197.18113863314895,132.59747593329254,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-35.17017966133851,-35.071633122219694,-34.99826800651986,-22.361458998774445,364.0
C4H3+,C#C[C+]=C,KIDA,True,positive,1,51.02292651609,4,0,0,0,0,False,472.738412026662,534.7211110994292,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0833704806563214,0.0,0.0,1.1325292043508343e-218,5.992338250443562e-43,372.3129887854424,472.7384120240363,1.0,1.008,686.9653561832204,-35.28985149662733,-34.323385999946865,-33.95551651548938,-44.4800986810911,447.0050948441077,447.0050948441077,-300.0,-300.0,-217.94595059008788,-42.22240367992892,
C4N2H+,N#CC#CC#[NH+],KIDA,True,positive,1,77.01342445208999,6,1,1,0,0,False,592.2476474215559,592.2476474215559,N-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0191940837974565,0.0,0.0,5.742893569776495e-302,5.508557236074107e-48,416.72486418073703,592.2476474215559,1.0,1.008,778.5607370076495,-32.06281568871388,-31.066020582842132,-30.68082814928498,-42.342896167443406,457.7014790506359,457.7014790506359,-300.0,-300.0,-299.97574880964686,-47.25896213371807,
C5H2,[C-]#CC#C[CH2+],KIDA,True,neutral,0,62.01565006,5,0,0,0,0,False,531.0,531.0,C-H,0,literature,0.0,False,1.0,0.0,,0.0,0.0,1.3524752902014933e-178,6.286877839498209e-40,345.67553123690635,407.51330689672915,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-177.86887066073317,-39.20156497835623,531.0
C5H2+,[C+]#C[C]=C=C,KIDA,True,positive,1,62.01510148409,5,0,0,0,0,False,349.6491527398098,349.6491527398098,C-H,2,xtb_corrected,-15.4,False,1.0,2.0,1.0843354752402794,0.0,6.656584797208002e-270,2.5183675099571454e-133,4.876619784319751e-37,320.1945840090921,349.6491527398098,1.0,1.008,686.9653561832204,-35.284296585560455,-34.31802638369146,-33.950269665511634,-44.51628865373336,446.9362199283897,446.9362199283897,-300.0,-269.1767485312119,-132.59888089221863,-36.31188110375001,
HC5N+,[CH+]=[C]C#CC#N,KIDA,True,positive,1,75.01035045,6,0,1,0,0,False,561.49,561.49,C-H,0,literature,0.0,False,1.0,2.0,,0.0,0.0,0.0,2.201582858370883e-49,429.0549605494669,627.8130974985169,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-300.0,-48.657264964868965,561.49
C6H,[C]#CC#CC#C,KIDA,True,neutral,0,73.00782503,6,0,0,0,0,False,405.0,405.0,C-H,0,literature,0.0,False,1.0,2.0,,0.0,0.0,7.256836983946053e-291,4.827740509057611e-47,408.4121752444259,568.8553903137038,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-290.1392526326486,-46.31625608126587,405.0
C6H-,[C-]#CC#CC#C,KIDA,True,negative,-1,73.00837361,6,0,0,0,0,False,495.4684206179665,495.4684206179665,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0652239016529217,0.0,0.0,9.394233826749887e-243,5.949124389923094e-44,381.1586071452593,495.4684206179665,1.0,1.008,686.9653561832204,-35.39431268592325,-34.424174698756396,-34.05418398728257,-43.798366564197856,448.3002773458619,448.3002773458619,-300.0,-300.0,-242.0271386342312,-43.225546950340046,
C6H+,[C+]#CC#CC#C,KIDA,True,positive,1,73.00727645,6,0,0,0,0,False,680.8339936275333,680.8339936275333,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0652240465015836,0.0,0.0,0.0,2.1366878698308865e-51,446.8053425469433,680.8339936301591,1.0,1.008,686.9653561832204,-35.3943118520842,-34.42417389423169,-34.05418319969489,-43.798372014858565,448.3002670075247,448.3002670075247,-300.0,-300.0,-300.0,-50.67025891551058,
CH3CHS,CC=S,KIDA,True,neutral,0,60.00337113,3,0,1,0,0,False,392.43929035553185,412.1142468215298,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0930317144585535,0.0,0.0,5.239170328820498e-160,3.3908183397042964e-39,339.22197819720895,392.43929035553185,1.0,1.008,686.9653561832204,-35.234237873388395,-34.26972760909054,-33.902986941922684,-44.84213431209171,446.3155400269897,446.3155400269897,-300.0,-300.0,-159.28073748212768,-38.46969547656733,
CH3SH2+,C[SH2+],KIDA,True,positive,1,49.010647580089994,2,0,0,0,0,False,397.0,397.0,C-H,0,literature,0.0,False,1.0,1.0,,0.0,0.0,1.1997509929713891e-261,9.40049381309803e-46,397.0423137796205,537.6233255739065,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-260.92090888195247,-45.02684933207364,397.0
CH3NH2,CN,KIDA,True,neutral,0,31.04219916,2,1,1,0,0,False,388.0,435.55250693406504,C-H,0,literature,0.0,False,1.0,1.0,,0.0,0.0,1.0215829511642752e-221,2.8429452106585338e-43,375.1684706326529,480.0176236442337,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-220.99072636347083,-42.54623150996765,388.0
CH3OH2+,C[OH2+],KIDA,True,positive,1,33.0334912,2,0,0,0,0,True,397.0,438.536818207856,C-H,0,literature,0.0,True,1.0,1.0,,0.0,1.16012278239352e-258,2.9548107967523287e-128,3.2780544468357453e-36,312.89779477790574,333.89469701309326,1.0,1.008,686.9653561832204,-23.278569154719595,-22.735402136356928,-22.595416019763583,-36.520745363756674,446.5319237054945,297.68794913699634,-300.0,-257.93549604448503,-127.52947032275468,-35.48438383729269,397.0
C2H3NH2,C=CN,KIDA,True,neutral,0,43.04219916,3,1,1,0,0,False,392.0,419.2746505799153,C-H,0,literature,0.0,False,1.0,2.0,,0.0,0.0,2.04160762680647e-213,2.1973314487833048e-42,367.3370536762113,460.1866264497883,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-212.69002772056777,-41.65810442850483,392.0
CH3NCOH+,CN[C+]=O,KIDA,True,positive,1,58.02874016809,4,1,1,1,0,True,460.4801940910393,496.1227750049437,N-H,0,xtb_corrected,-15.4,False,1.0,1.0,1.0132907452970177,0.0,0.0,1.5380125203034232e-213,2.131131239237558e-42,367.4542028128904,460.4801936893394,1.0,1.008,778.5607370076495,-32.16869332461725,-31.167713476779827,-30.780089216850797,-42.16545540214353,459.1773136757456,459.1773136757456,-300.0,-300.0,-212.8130401291142,-41.6713898047571,
CH3CHOH+,CC[O+],KIDA,True,positive,1,45.0334912,3,0,0,0,0,True,381.53643825729085,423.16596398185845,C-H,0,xtb_corrected,-15.4,True,1.0,2.0,1.1012270662314176,2.5925639661307554e-187,5.343531129880174e-115,7.924387344799142e-72,1.0691601830437996e-31,273.0988443190537,254.3573206002945,1.0,1.008,686.9653561832204,-23.23574503365717,-22.694091153806607,-22.55481723150444,-36.86379014410895,445.73061015067833,297.15374010045224,-186.58627051949247,-114.27217165619105,-71.1010343042595,-30.970957223322117,
C2H6,CC,KIDA,True,neutral,0,30.04695019,2,0,0,0,0,False,423.0,423.0,C-H,0,literature,0.0,False,1.0,0.0,,0.0,0.0,5.119150876531557e-258,2.061063276854177e-45,394.0359327098934,529.5124453668102,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-257.290802070317,-44.6859086747095,423.0
C3H3NH+,C=C[C+]=N,KIDA,True,positive,1,54.03382554808999,4,1,1,1,0,False,460.14657788932374,559.9481477688961,C-H,0,xtb_corrected,-15.4,False,1.0,3.0,1.0850564197247192,0.0,0.0,2.1220421149453695e-213,2.206522174645505e-42,367.3210692478914,460.14657788932374,1.0,1.008,686.9653561832204,-35.28014653532542,-34.314022237606544,-33.946349764390355,-44.54332191412617,446.884763690781,446.884763690781,-300.0,-300.0,-212.67324600115717,-41.65629170371292,632.0
C2H3CHO,C=CC=O,KIDA,True,neutral,0,56.02621475,4,0,1,1,0,True,402.9213287656746,493.8053821387783,C-H,0,xtb_corrected,-15.4,True,1.0,4.0,1.102575266942572,2.3881174991285027e-240,2.819793165134675e-141,4.74451893534165e-82,1.4890337142700547e-32,280.64818687817854,268.6142191771164,1.0,1.008,686.9653561832204,-23.230602599239106,-22.68913042256,-22.5499419448464,-36.904937207006995,445.63438452216656,297.08958968144435,-239.62194430904697,-140.5497827464803,-81.32380781575893,-31.82709546896664,
C3H5,[CH2]C=C,KIDA,True,neutral,0,41.03912516,3,0,0,0,0,False,422.584,422.584,C-H,0,literature,0.0,False,1.0,0.0,,1.4609732143534037e-184,1.9025710967697577e-113,5.380691951672559e-71,1.9314562000385696e-31,270.83403614019977,250.156044204933,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-183.8353577463964,-112.72065910519714,-70.2691618709006,-30.714115135977476,422.584
C3H5+,C=C[CH2+],KIDA,True,positive,1,41.038576580089995,3,0,0,0,0,False,367.53868885894485,367.5402052579509,C-H,5,xtb_corrected,-15.4,False,1.0,2.0,1.0854101145073365,0.0,3.38380857e-316,3.5568963247778806e-151,5.898903960259753e-38,328.28366435632995,367.53868885894485,1.0,1.008,686.9653561832204,-35.278110526132494,-34.31205780887116,-33.944426665422924,-44.5565831098672,446.85951930211024,446.85951930211024,-300.0,-300.0,-150.44892879329976,-37.22922867449855,
C4H2CN,[CH]=CC#CC#N,KIDA,True,neutral,0,76.01872406,6,0,1,0,0,False,132.94822358814642,261.3830846245063,C-H,1,xtb_corrected,-15.4,False,1.0,3.0,1.0841177039748398,6.061717147862904e-36,7.618886278140181e-36,9.018029450270488e-36,4.06429478065928e-23,197.441758775818,132.94822358814642,1.0,1.008,686.9653561832204,-35.2855501668376,-34.31923589259907,-33.951453726661704,-44.508122183923376,446.951762997545,446.951762997545,-35.21740433256561,-35.11810850879276,-35.04488835074723,-22.39101480048523,
C4H4,C#CC=C,KIDA,True,neutral,0,52.03130013,4,0,0,0,0,False,381.5808,381.5808,C-H,0,literature,0.0,False,1.0,2.0,,0.0,0.0,6.532181537220541e-222,2.7113631298738243e-43,375.3499501310213,480.482131906272,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-221.18494175419906,-42.566812313943196,381.5808
C4H4,C#CC=C,KIDA,True,neutral,0,52.03130013,4,0,0,0,0,False,381.5808,381.5808,C-H,0,literature,0.0,False,1.0,2.0,,0.0,0.0,6.532181537220541e-222,2.7113631298738243e-43,375.3499501310213,480.482131906272,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-221.18494175419906,-42.566812313943196,381.5808
C4H4+,[CH+]=[C]C=C,KIDA,True,positive,1,52.030751548089995,4,0,0,1,0,False,264.0752584159208,342.6268403524469,C-H,3,xtb_corrected,-15.4,False,1.0,3.0,1.0858581811198773,1.239119278345993e-236,3.062646947342075e-139,5.064834089387227e-81,2.7730164217310697e-32,278.26693105459617,264.07525841066933,1.0,1.008,686.9653561832204,-35.27553127678204,-34.30956923887041,-33.94199045197782,-44.57338139114832,446.8275392778823,446.8275392778823,-235.90688688617104,-138.51390306445967,-80.29543477641303,-31.557047558533906,
HC5NH+,C#CC#CC#N,KIDA,True,neutral,0,75.01089903,6,0,1,0,0,False,610.7048135032207,610.7048135032207,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0652324268420104,0.0,0.0,0.0,1.0239625493374564e-48,423.1685790134989,610.7048135032207,1.0,1.008,686.9653561832204,-35.394263609628155,-34.42412734778274,-34.05413763315166,-43.798687367146954,448.29966887438474,448.29966887438474,-300.0,-300.0,-300.0,-47.98971592706479,
C5H3,C#C[C]=C=C,KIDA,True,neutral,0,63.0234751,5,0,0,0,0,False,443.373072126287,458.57084998970623,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0838022200448356,0.0,0.0,2.302776550347499e-206,1.288234579651146e-41,360.56402913619235,443.373072126287,1.0,1.008,686.9653561832204,-35.28736622346905,-34.320988101852,-33.953169069571764,-44.49629089260988,446.9742801488851,446.9742801488851,-300.0,-300.0,-205.63774820170542,-40.89000504740172,
C5H3+,C#C[C+]=C=C,KIDA,True,positive,1,63.02292651609,5,0,0,0,0,False,460.2956333004255,523.2065371618102,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.083802120244516,0.0,0.0,1.8377865087787363e-213,2.1725109566136506e-42,367.380557639677,460.2956333004255,1.0,1.008,686.9653561832204,-35.28736679796138,-34.3209886561468,-33.95316961220418,-44.49628714978649,446.9742872719703,446.9742872719703,-300.0,-300.0,-212.73570494096109,-41.663038024598585,
C6H2,C#CC#CC#C,KIDA,True,neutral,0,74.01565006,6,0,0,0,0,False,530.5312,530.5312,C-H,0,literature,0.0,False,1.0,2.0,,0.0,0.0,1.155392042023153e-304,3.27105498680241e-48,418.72079633268606,597.934454542003,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-299.9999498248597,-47.48531215527454,530.5312
