name,BDE_min_kJmol,BDE_mean_kJmol,BDE_bond_type_of_min,BDE_weak_bond_count,BDE_source,spin_tax_correction_kJmol,oxygen_radical_flag,ZPE_scaling_factor,radical_stability_score,BDE_min_bond_length_A
HOCO,-34.545016048250545,-34.545016048250545,O-H,1,xtb_corrected,-15.4,True,1.0,0.0,0.9778064811163462
H2CCN,394.1,394.1,C-H,0,literature,0.0,False,1.0,2.0,
CH2CN+,543.1922724450551,543.1922724529323,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0809052149865734
H2CCO,360.2,360.2,C-H,2,literature,0.0,False,1.0,2.0,
H2CCO+,570.7557052277647,570.7557052277647,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0815294923279384
C2H3,418.4,418.3999999999999,C-H,0,literature,0.0,False,1.0,2.0,
C2H3+,418.4,418.3999999999999,C-H,0,literature,0.0,False,1.0,2.0,
C2N2H+,607.4013213938357,607.4013213938357,N-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0271123999398373
t-C3H2,543.0,543.0,C-H,0,literature,0.0,False,1.0,2.0,
c-C3H2,497.0,497.0,C-H,0,literature,0.0,False,1.0,3.0,
c-C3H2+,508.21503158248834,508.31897979562746,C-H,0,xtb_corrected,-15.4,False,1.0,1.0,1.0823413951375556
HC3N+,551.0,551.0,C-H,0,literature,0.0,False,1.0,2.0,
C4H,529.5792624015701,529.5792624015701,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0654818151580394
C4H-,514.224057816569,514.224057816569,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0654818151580394
C4H+,644.0278700840703,644.0278700840703,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0654816346254112
CH2NH+,202.44213764843929,288.24975349573634,C-H,2,xtb_corrected,-15.4,False,1.0,1.0,1.0872673001150972
HCOOH,484.2441413094021,535.622070654701,O-H,0,xtb_corrected,-15.4,True,1.0,0.0,0.9802180996200653
CH2OH,162.68840686652945,322.42946895550983,O-H,1,xtb_corrected,-15.4,True,1.0,0.0,0.9741227936638613
CH2PH,508.02193635995036,508.02193635995036,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0996056886523329
CH2NH,470.2593325594729,489.4374378629894,N-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0267118361738845
CH3O,126.42860021961525,126.42860021961525,C-H,3,xtb_corrected,-15.4,True,1.0,1.0,1.1032644949344772
CH2SH,386.6,386.6,C-H,0,literature,0.0,False,1.0,1.0,
CH4,439.3,439.3,C-H,0,literature,0.0,False,1.0,0.0,
CH3CN,489.73420591522034,489.73420591522034,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.094039768888072
CH3CN+,385.9169773722921,385.9169773740426,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0938743039808794
CH2CHO,138.82972039728043,316.79340490269567,C-H,1,xtb_corrected,-15.4,True,1.0,4.0,1.092099982467845
CH3CO+,356.0,356.0,C-H,3,literature,0.0,False,1.0,0.0,
C2H4,464.0,464.0,C-H,0,literature,0.0,False,1.0,2.0,
C2H4+,461.1,461.1,C-H,0,literature,0.0,False,1.0,0.0,
HC3NH+,631.8,647.6852056326147,N-H,0,literature,0.0,False,1.0,2.0,
HCCCHO,385.0,385.0,C-H,0,literature,0.0,False,1.0,2.0,
c-C3H2O,472.0,472.0,C-H,0,literature,0.0,False,1.0,3.0,
CH2CCH,393.0,393.0,C-H,0,literature,0.0,False,1.0,2.0,
c-C3H3+,427.0,427.0,C-H,0,literature,0.0,False,1.0,3.0,
C4H2,539.0,539.0,C-H,0,literature,0.0,False,1.0,2.0,
C4H2+,627.8848745517328,627.8877400316221,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0648240560333901
C5H,427.0,427.0,C-H,0,literature,0.0,False,1.0,2.0,
C5H-,365.1738778887912,365.1738778887912,C-H,1,xtb_corrected,-15.4,False,1.0,2.0,1.0655965041158029
C5H+,662.4473994263228,662.4473994263228,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0655962514998576
CH2NH2,342.3314699175289,380.16573495876446,C-H,2,xtb_corrected,-15.4,False,1.0,1.0,1.0864897090883843
CH3CO,362.0,362.0,C-H,3,literature,0.0,False,1.0,0.0,
CH3CS+,445.42878910935815,445.42878910935815,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0939859145560173
CH3NH,388.0,408.86192780364433,C-H,0,literature,0.0,False,1.0,1.0,
CH3O2+,545.3620166338355,571.2268705570731,C-H,0,xtb_corrected,-15.4,True,1.0,5.0,1.0999965174493496
CH3SH,401.0,401.0,C-H,0,literature,0.0,False,1.0,1.0,
CH2NH2+,535.3256140766719,555.6811899413343,N-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0192653481215364
CH3OH,437.0,483.0096207287919,O-H,0,literature,0.0,True,1.0,0.0,
CH3NCO,377.0,377.0,C-H,3,literature,0.0,False,1.0,1.0,
CH3NCO+,335.0,335.0,C-H,3,literature,0.0,False,1.0,1.0,
CH3CNH+,505.2604972589696,542.4903783553751,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.093931680316579
CH3CHO,372.0,372.0,C-H,4,literature,0.0,False,1.0,0.0,
C2H4O+,461.0,461.0,C-H,0,literature,0.0,False,1.0,0.0,
C2H5,420.5,420.5,C-H,0,literature,0.0,False,1.0,0.0,
C3H2CN,449.3382531194826,449.3382531194826,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.083935410709732
CH2CHCN,390.0,390.0,C-H,0,literature,0.0,False,1.0,2.0,
C3H3N+,311.8638722831675,346.5071970515324,C-H,3,xtb_corrected,-15.4,False,1.0,1.0,1.0827552312172652
CH2CCH2,381.6,381.6,C-H,0,literature,0.0,False,1.0,2.0,
CH3CCH,416.0,416.0,C-H,0,literature,0.0,False,1.0,2.0,
C3H4+,436.0,436.0,C-H,0,literature,0.0,False,1.0,2.0,
C4H3,364.0,364.0,C-H,3,literature,0.0,False,1.0,2.0,
